titles,images,prices,ratings,purls
Eyewearlabs,https://m.media-amazon.com/images/I/51frBwUm0eL._AC_UL320_.jpg,"₹1,234",4.4,
Fastrack,https://m.media-amazon.com/images/I/51rp0Wc2pqL._AC_UL320_.jpg,"₹1,711",3.9,
John Jacobs,https://m.media-amazon.com/images/I/41gArnXvYWL._AC_UL320_.jpg,"₹1,499",4.0,
Royaltail,https://m.media-amazon.com/images/I/61O0TaqmglL._AC_UL320_.jpg,₹829,4.1,
CREATURE,https://m.media-amazon.com/images/I/51TXzIxXeiL._AC_UL320_.jpg,₹349,4.3,
KAEN EYEWEAR,https://m.media-amazon.com/images/I/41RAJqSeLRL._AC_UL320_.jpg,₹501,4.6,
Ray-Ban,https://m.media-amazon.com/images/I/31cOmG3CZ0L._AC_UL320_.jpg,"₹8,974",4.4,
Ray-Ban,https://m.media-amazon.com/images/I/518ieluMYVL._AC_UL320_.jpg,"₹10,295",4.2,
Joox,https://m.media-amazon.com/images/I/51HMB91HXYL._AC_UL320_.jpg,₹699,4.2,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51O30G86c7L._AC_UL320_.jpg,₹999,3.8,
GYNK,https://m.media-amazon.com/images/I/41lN-yhDdkL._AC_UL320_.jpg,₹664,4.0,
Dervin,https://m.media-amazon.com/images/I/51vxSCxDDlL._AC_UL320_.jpg,₹549,4.0,
John Jacobs,https://m.media-amazon.com/images/I/511RXyYUGqL._AC_UL320_.jpg,"₹1,499",3.9,
SUNGAIT,https://m.media-amazon.com/images/I/6166AYb6PwL._AC_UL320_.jpg,"₹1,708",4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51K183qSQeL._AC_UL320_.jpg,₹799,5.0,
IRUS,https://m.media-amazon.com/images/I/41I-vmHz-ML._AC_UL320_.jpg,₹579,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51qgfj0IyXL._AC_UL320_.jpg,₹899,4.3,
ELEGANTE,https://m.media-amazon.com/images/I/51ZWr24J6nL._AC_UL320_.jpg,₹410,3.7,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41AS4RXa5zL._AC_UL320_.jpg,₹899,4.0,
Voyage,https://m.media-amazon.com/images/I/51xjCWiN+sL._AC_UL320_.jpg,₹628,4.0,
grey jack,https://m.media-amazon.com/images/I/41fZhVTUuAL._AC_UL320_.jpg,₹769,3.8,
GLAMORSTYL,https://m.media-amazon.com/images/I/51XDBK5XaxS._AC_UL320_.jpg,₹399,3.0,
OPTICSFIT,https://m.media-amazon.com/images/I/41wKsj9zqYL._AC_UL320_.jpg,₹749,4.4,
Voyage,https://m.media-amazon.com/images/I/41IwLRMMTOL._AC_UL320_.jpg,₹694,4.2,
Voyage,https://m.media-amazon.com/images/I/51CIsG8w6lL._AC_UL320_.jpg,₹665,4.0,
Voyage,https://m.media-amazon.com/images/I/51X6AolN2qL._AC_UL320_.jpg,₹696,3.6,
grey jack,https://m.media-amazon.com/images/I/41ZpYANhjtL._AC_UL320_.jpg,₹769,3.5,
Voyage,https://m.media-amazon.com/images/I/51wXG6n2mOL._AC_UL320_.jpg,₹749,4.3,
Fastrack,https://m.media-amazon.com/images/I/61TiAMM7NFL._AC_UL320_.jpg,"₹1,430",3.9,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41Ps4Ry77xL._AC_UL320_.jpg,₹849,4.0,
CREATURE,https://m.media-amazon.com/images/I/41nIhT-YyXL._AC_UL320_.jpg,₹359,4.3,
Fastrack,https://m.media-amazon.com/images/I/71woMbk9RYL._AC_UL320_.jpg,"₹1,643",4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41J9fIg+rtL._AC_UL320_.jpg,₹899,4.2,
Ray-Ban,https://m.media-amazon.com/images/I/51w7xuY3C2L._AC_UL320_.jpg,"₹5,869",3.9,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41Eqm7ldZ1L._AC_UL320_.jpg,₹699,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/418cAFaMg9L._AC_UL320_.jpg,₹749,4.0,
ROYAL SON,https://m.media-amazon.com/images/I/71WvSloObLL._AC_UL320_.jpg,₹522,4.1,
ROYAL SON,https://m.media-amazon.com/images/I/61nFWY3TJ-S._AC_UL320_.jpg,₹615,4.1,
Dervin,https://m.media-amazon.com/images/I/51OcpC5sA5L._AC_UL320_.jpg,₹550.,4.0,
CREATURE,https://m.media-amazon.com/images/I/618yc+dv7wL._AC_UL320_.jpg,₹373,3.9,
John Jacobs,https://m.media-amazon.com/images/I/51iA2PG7K+L._AC_UL320_.jpg,"₹1,999",5.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41fwln0z-CL._AC_UL320_.jpg,₹649,4.2,
Ray-Ban,https://m.media-amazon.com/images/I/41QDIUkgKTL._AC_UL320_.jpg,"₹3,994",3.8,
ROYAL SON,https://m.media-amazon.com/images/I/714TwhGeyvL._AC_UL320_.jpg,₹561,3.9,
Voyage,https://m.media-amazon.com/images/I/51xdgtgEhaL._AC_UL320_.jpg,₹699,4.2,
MINARELLI,https://m.media-amazon.com/images/I/61YKapM4qQL._AC_UL320_.jpg,₹749,5.0,
Peter Jones,https://m.media-amazon.com/images/I/51YkRJbTqqL._AC_UL320_.jpg,₹630,3.9,
OPTICSFIT,https://m.media-amazon.com/images/I/416C95TxwlL._AC_UL320_.jpg,₹669,1.0,
John Jacobs,https://m.media-amazon.com/images/I/61Y8xMWL4zL._AC_UL320_.jpg,"₹1,699",4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41gFtKAhuzL._AC_UL320_.jpg,₹799,4.0,
Voyage,https://m.media-amazon.com/images/I/51lfKFUuTIL._AC_UL320_.jpg,₹958,3.6,
Fastrack,https://m.media-amazon.com/images/I/31zd8Y9aY2L._AC_UL320_.jpg,"₹1,179",4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51kr+ggzywL._AC_UL320_.jpg,₹899,4.2,
Karsaer,https://m.media-amazon.com/images/I/31fuVYkZF8L._AC_UL320_.jpg,"₹1,183",3.6,
OKNO,https://m.media-amazon.com/images/I/51F02nz6JnL._AC_UL320_.jpg,"₹1,232",3.8,
Ray-Ban,https://m.media-amazon.com/images/I/51NVk0tpupL._AC_UL320_.jpg,"₹9,348",4.3,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41FmADaHfBS._AC_UL320_.jpg,₹899,4.0,
EFERMONE,https://m.media-amazon.com/images/I/61IJliJECYL._AC_UL320_.jpg,₹499,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/417J-sbs4rL._AC_UL320_.jpg,₹999,4.1,
Fastrack,https://m.media-amazon.com/images/I/51GJpAH4ARL._AC_UL320_.jpg,"₹3,319",,
CREATURE,https://m.media-amazon.com/images/I/712Dvez61SL._AC_UL320_.jpg,₹314,3.4,
Voyage,https://m.media-amazon.com/images/I/61TcogTfaoL._AC_UL320_.jpg,₹636,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41b6klSqcAL._AC_UL320_.jpg,₹899,4.2,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/414mCEF51cL._AC_UL320_.jpg,₹899,4.1,
CREEK,https://m.media-amazon.com/images/I/51xuHvGL7SL._AC_UL320_.jpg,₹270,3.6,
ROYAL SON,https://m.media-amazon.com/images/I/71Aa6aqBOQL._AC_UL320_.jpg,₹614,3.8,
CREEK,https://m.media-amazon.com/images/I/51uVgYLtFwL._AC_UL320_.jpg,₹569,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51WeKpMdMaL._AC_UL320_.jpg,₹837,4.4,
Fastrack,https://m.media-amazon.com/images/I/61V4IxH1PhL._AC_UL320_.jpg,₹909,3.9,
ROYAL SON,https://m.media-amazon.com/images/I/61wFcIclLxL._AC_UL320_.jpg,₹655,3.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41-sJAb5jLL._AC_UL320_.jpg,₹749,4.0,
4Flaunt,https://m.media-amazon.com/images/I/518kELMlF1L._AC_UL320_.jpg,₹424,4.4,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51XBFYF0aeL._AC_UL320_.jpg,"₹1,049",4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41oFSL21EqL._AC_UL320_.jpg,₹799,4.3,
J+S,https://m.media-amazon.com/images/I/61ChXeifEeL._AC_UL320_.jpg,"₹1,699",4.3,
Tommy Hilfiger,https://m.media-amazon.com/images/I/512vQ6e68NL._AC_UL320_.jpg,"₹3,729",4.6,
Dervin,https://m.media-amazon.com/images/I/415LCWT5nML._AC_UL320_.jpg,₹434,4.1,
Dervin,https://m.media-amazon.com/images/I/61xM8wDL7bL._AC_UL320_.jpg,₹440,4.7,
4Flaunt,https://m.media-amazon.com/images/I/51yOSX2oiSL._AC_UL320_.jpg,₹424,4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51CtR73gjEL._AC_UL320_.jpg,₹899,4.0,
Voyage,https://m.media-amazon.com/images/I/51Z9BckyX1L._AC_UL320_.jpg,₹886,3.9,
Voyage,https://m.media-amazon.com/images/I/61Z0G4w2Q7L._AC_UL320_.jpg,₹923,4.0,
OPTICSFIT,https://m.media-amazon.com/images/I/51cZL3vkKaL._AC_UL320_.jpg,₹709,4.5,
OPTICSFIT,https://m.media-amazon.com/images/I/41c75NXa50L._AC_UL320_.jpg,₹399,4.1,
Voyage,https://m.media-amazon.com/images/I/51CIsG8w6lL._AC_UL320_.jpg,₹665,4.1,
Voyage,https://m.media-amazon.com/images/I/51xdgtgEhaL._AC_UL320_.jpg,₹699,3.6,
Karsaer,https://m.media-amazon.com/images/I/51Sjx7DGj+L._AC_UL320_.jpg,"₹1,250",,
